original_name,city,county,country,latitude,longitude
日本国,,,Japan,,
愛知県,,Aichi,Japan,,
秋田県,,Akita,Japan,,
青森県,,Aomori,Japan,,
千葉県,,Chiba,Japan,,
愛媛県,,Ehime,Japan,,
福井県,,Fukui,Japan,,
福岡県,,Fukuoka,Japan,,
福島県,,Fukushima,Japan,,
岐阜県,,Gifu,Japan,,
群馬県,,Gunma,Japan,,
広島県,,Hiroshima,Japan,,
北海道,,Hokkaido,Japan,,
兵庫県,,Hyōgo,Japan,,
茨城県,,Ibaraki,Japan,,
石川県,,Ishikawa,Japan,,
岩手県,,Iwate,Japan,,
香川県,,Kagawa,Japan,,
鹿児島県,,Kagoshima,Japan,,
神奈川県,,Kanagawa,Japan,,
高知県,,Kōchi,Japan,,
熊本県,,Kumamoto,Japan,,
京都府,,Kyōto,Japan,,
三重県,,Mie,Japan,,
宮城県,,Miyagi,Japan,,
宮崎県,,Miyazaki,Japan,,
長野県,,Nagano,Japan,,
長崎県,,Nagasaki,Japan,,
奈良県,,Nara,Japan,,
新潟県,,Niigata,Japan,,
大分県,,Ōita,Japan,,
岡山県,,Okayama,Japan,,
沖縄県,,Okinawa,Japan,,
大阪府,,Ōsaka,Japan,,
佐賀県,,Saga,Japan,,
埼玉県,,Saitama,Japan,,
滋賀県,,Shiga,Japan,,
島根県,,Shimane,Japan,,
静岡県,,Shizuoka,Japan,,
栃木県,,Tochigi,Japan,,
徳島県,,Tokushima,Japan,,
東京都,,Tōkyō,Japan,,
鳥取県,,Tottori,Japan,,
富山県,,Toyama,Japan,,
和歌山県,,Wakayama,Japan,,
山形県,,Yamagata,Japan,,
山口県,,Yamaguchi,Japan,,
山梨県,,Yamanashi,Japan,,
,Agui,Aichi,Japan,34.9333,136.9167
,Aisai,Aichi,Japan,35.1528,136.7282
,Ama,Aichi,Japan,35.2004,136.7832
,Anjōmachi,Aichi,Japan,34.9587,137.0803
,Asuke,Aichi,Japan,35.134,137.1454
,Chiryū,Aichi,Japan,35.0014,137.0506
,Chita,Aichi,Japan,35,136.8667
,Fusō,Aichi,Japan,35.3591,136.9132
,Gamagōri,Aichi,Japan,34.8431,137.2196
,Handa,Aichi,Japan,34.8919,136.9381
,Hekinan,Aichi,Japan,34.8847,136.9934
,Higashiura,Aichi,Japan,34.9771,136.9656
,Ichinomiya,Aichi,Japan,35.3039,136.8031
,Inazawa,Aichi,Japan,35.2647,136.7969
,Ishiki,Aichi,Japan,34.8167,137.0333
,Iwakura,Aichi,Japan,35.2794,136.8714
,Kanie,Aichi,Japan,35.1322,136.7868
,Kariya,Aichi,Japan,34.9893,137.0021
,Kasugai,Aichi,Japan,35.2475,136.9722
,Kitanagoya,Aichi,Japan,35.2456,136.8659
,Kiyosu,Aichi,Japan,35.1998,136.8529
,Komaki,Aichi,Japan,35.291,136.9121
,Kōnan,Aichi,Japan,35.3321,136.8707
,Kōta,Aichi,Japan,34.8645,137.1657
,Kozakai-chō,Aichi,Japan,34.8,137.3667
,Mihama,Aichi,Japan,34.7789,136.9082
,Minamichita,Aichi,Japan,34.7151,136.9298
,Miyoshi,Aichi,Japan,35.0894,137.0748
,Nagakute,Aichi,Japan,35.184,137.0487
,Nagoya,Aichi,Japan,35.1833,136.9
,Nishio,Aichi,Japan,34.83,137.0697
,Nisshin,Aichi,Japan,35.132,137.0394
,Ōbu,Aichi,Japan,35.0117,136.9637
,Ōguchi,Aichi,Japan,35.3325,136.9078
,Ōharu,Aichi,Japan,35.1751,136.8201
,Okazaki,Aichi,Japan,34.9543,137.1744
,Owariasahi,Aichi,Japan,35.2165,137.0354
,Seto,Aichi,Japan,35.2236,137.0842
,Shinshiro,Aichi,Japan,34.9159,137.4986
,Tahara,Aichi,Japan,34.6688,137.2809
,Takahama,Aichi,Japan,34.9275,136.9878
,Taketoyo,Aichi,Japan,34.8511,136.9147
,Tōgō,Aichi,Japan,35.0966,137.0525
,Tōkai,Aichi,Japan,35.0231,136.9022
,Tokoname,Aichi,Japan,34.8865,136.8323
